grid_type|lat|resolution|area
s2|-85|5|16658072.910646066
s2|-85|6|3297062.221336642
s2|-85|7|721728.0598985384
s2|-85|8|168689.0818225945
s2|-85|9|40778.8358398209
s2|-85|10|10025.2242707777
s2|-85|11|2525.1521585594
s2|-85|12|628.6339994884
s2|-85|13|157.4522876951
s2|-85|14|39.3998551803
s2|-85|15|9.854565442
s2|-85|16|2.4629911233
s2|-85|17|0.6156665193
s2|-85|18|0.1539064733
s2|-85|19|0.0384753488
s2|-85|20|0.0096186785
s2|-85|21|0.0024046872
s2|-85|22|0.0006011693
s2|-85|23|0.000150292
s2|-85|24|3.7573e-05
s2|-85|25|9.3932e-06
s2|-85|26|2.3483e-06
s2|-85|27|5.871e-07
s2|-85|28|1.468e-07
s2|-85|29|3.67e-08
s2|-85|30|9.2e-09
s2|-80|4|17036546.803109974
s2|-80|5|3302169.832223585
s2|-80|6|713881.7220463082
s2|-80|7|165876.7019551369
s2|-80|8|42728.5579117172
s2|-80|9|10844.1646040864
s2|-80|10|2685.6243634436
s2|-80|11|673.9274870693
s2|-80|12|168.7981901453
s2|-80|13|42.2391590751
s2|-80|14|10.553551268
s2|-80|15|2.6376084125
s2|-80|16|0.6594794051
s2|-80|17|0.1648795151
s2|-80|18|0.0412183563
s2|-80|19|0.0103047401
s2|-80|20|0.0025762039
s2|-80|21|0.0006440533
s2|-80|22|0.000161013
s2|-80|23|4.02532e-05
s2|-80|24|1.00633e-05
s2|-80|25|2.5158e-06
s2|-80|26|6.29e-07
s2|-80|27|1.572e-07
s2|-80|28|3.93e-08
s2|-80|29|9.8e-09
s2|-80|30|2.5e-09
s2|-75|3|17276037.259269074
s2|-75|4|6428340.142087442
s2|-75|5|1306067.5736643893
s2|-75|6|355650.5064508818
s2|-75|7|84016.9718387629
s2|-75|8|20421.2091143113
s2|-75|9|5034.2041853421
s2|-75|10|1249.7739624399
s2|-75|11|311.3532015059
s2|-75|12|77.9364884244
s2|-75|13|19.4670967018
s2|-75|14|4.8683079021
s2|-75|15|1.217268754
s2|-75|16|0.3042839304
s2|-75|17|0.0760668257
s2|-75|18|0.0190161869
s2|-75|19|0.0047540935
s2|-75|20|0.0011885153
s2|-75|21|0.0002971278
s2|-75|22|7.4282e-05
s2|-75|23|1.85705e-05
s2|-75|24|4.6426e-06
s2|-75|25|1.1607e-06
s2|-75|26|2.902e-07
s2|-75|27|7.25e-08
s2|-75|28|1.81e-08
s2|-75|29|4.5e-09
s2|-75|30|1.1e-09
s2|-70|3|17276037.259269074
s2|-70|4|3190627.053569369
s2|-70|5|670131.4551961367
s2|-70|6|177945.293429043
s2|-70|7|45870.6566755572
s2|-70|8|11206.6807721864
s2|-70|9|2823.1287577073
s2|-70|10|708.4866447759
s2|-70|11|176.6109672792
s2|-70|12|44.1949625712
s2|-70|13|11.0540237003
s2|-70|14|2.7641666492
s2|-70|15|0.6911242742
s2|-70|16|0.1727654695
s2|-70|17|0.0431894177
s2|-70|18|0.0107971107
s2|-70|19|0.0026992978
s2|-70|20|0.000674827
s2|-70|21|0.0001687063
s2|-70|22|4.21765e-05
s2|-70|23|1.05441e-05
s2|-70|24|2.636e-06
s2|-70|25|6.59e-07
s2|-70|26|1.648e-07
s2|-70|27|4.12e-08
s2|-70|28|1.03e-08
s2|-70|29|2.6e-09
s2|-70|30|6e-10
s2|-65|2|15873102.818506034
s2|-65|3|5964641.430035214
s2|-65|4|1826711.4379789585
s2|-65|5|506316.0684272384
s2|-65|6|116720.3884821243
s2|-65|7|28028.8243205178
s2|-65|8|7094.3001041926
s2|-65|9|1784.6101974825
s2|-65|10|443.9037202345
s2|-65|11|111.1481138536
s2|-65|12|27.808588461
s2|-65|13|6.9548444349
s2|-65|14|1.7390484189
s2|-65|15|0.4348042776
s2|-65|16|0.1087063416
s2|-65|17|0.0271755117
s2|-65|18|0.0067939603
s2|-65|19|0.0016985004
s2|-65|20|0.000424623
s2|-65|21|0.0001061559
s2|-65|22|2.6539e-05
s2|-65|23|6.6347e-06
s2|-65|24|1.6587e-06
s2|-65|25|4.147e-07
s2|-65|26|1.037e-07
s2|-65|27|2.59e-08
s2|-65|28|6.5e-09
s2|-65|29|1.6e-09
s2|-65|30|4e-10
s2|-60|2|15873102.818506034
s2|-60|3|5964641.430035214
s2|-60|4|1136951.6080713633
s2|-60|5|308971.368318782
s2|-60|6|80601.3459933687
s2|-60|7|19421.5104199157
s2|-60|8|4767.1093538583
s2|-60|9|1180.9177375142
s2|-60|10|296.0049056793
s2|-60|11|74.0984461558
s2|-60|12|18.5034171294
s2|-60|13|4.6273729014
s2|-60|14|1.1570331229
s2|-60|15|0.2892820223
s2|-60|16|0.0723153309
s2|-60|17|0.0180781859
s2|-60|18|0.0045194656
s2|-60|19|0.0011298563
s2|-60|20|0.0002824628
s2|-60|21|7.06158e-05
s2|-60|22|1.76539e-05
s2|-60|23|4.4135e-06
s2|-60|24|1.1034e-06
s2|-60|25|2.758e-07
s2|-60|26|6.9e-08
s2|-60|27|1.72e-08
s2|-60|28|4.3e-09
s2|-60|29|1.1e-09
s2|-60|30|3e-10
s2|-55|2|15873102.818506034
s2|-55|3|2599717.139212149
s2|-55|4|746712.4808897857
s2|-55|5|200368.2115232279
s2|-55|6|51931.2895797467
s2|-55|7|13221.8699614756
s2|-55|8|3249.9078072711
s2|-55|9|816.193816772
s2|-55|10|203.185786105
s2|-55|11|50.689005839
s2|-55|12|12.6794805407
s2|-55|13|3.1707743568
s2|-55|14|0.7928066536
s2|-55|15|0.1981754335
s2|-55|16|0.04954058
s2|-55|17|0.0123847352
s2|-55|18|0.0030961326
s2|-55|19|0.0007740366
s2|-55|20|0.0001935096
s2|-55|21|4.83773e-05
s2|-55|22|1.20943e-05
s2|-55|23|3.0236e-06
s2|-55|24|7.559e-07
s2|-55|25|1.89e-07
s2|-55|26|4.72e-08
s2|-55|27|1.18e-08
s2|-55|28|3e-09
s2|-55|29|7e-10
s2|-55|30|2e-10
s2|-50|2|15873102.818506034
s2|-50|3|2599717.139212149
s2|-50|4|509260.1232109102
s2|-50|5|135434.3682843366
s2|-50|6|34941.7353500404
s2|-50|7|8875.6279431382
s2|-50|8|2236.7499197589
s2|-50|9|561.4383745395
s2|-50|10|140.6422580196
s2|-50|11|35.1959795821
s2|-50|12|8.8034269264
s2|-50|13|2.1997654741
s2|-50|14|0.5498050191
s2|-50|15|0.1374342147
s2|-50|16|0.034359635
s2|-50|17|0.0085896425
s2|-50|18|0.0021474275
s2|-50|19|0.000536859
s2|-50|20|0.0001342142
s2|-50|21|3.35535e-05
s2|-50|22|8.3884e-06
s2|-50|23|2.0971e-06
s2|-50|24|5.243e-07
s2|-50|25|1.311e-07
s2|-50|26|3.28e-08
s2|-50|27|8.2e-09
s2|-50|28|2e-09
s2|-50|29|5e-10
s2|-50|30|1e-10
s2|-45|0|84154909.02223916
s2|-45|1|24599524.08762271
s2|-45|2|7436880.739619226
s2|-45|3|1792734.3558953858
s2|-45|4|426671.6430333545
s2|-45|5|103410.5409791761
s2|-45|6|25418.7016938244
s2|-45|7|6299.0224518715
s2|-45|8|1567.7186324601
s2|-45|9|391.0452525248
s2|-45|10|97.6504708801
s2|-45|11|24.3987444459
s2|-45|12|6.0979508348
s2|-45|13|1.5242707295
s2|-45|14|0.3810405556
s2|-45|15|0.0952567478
s2|-45|16|0.023813763
s2|-45|17|0.0059533878
s2|-45|18|0.0014883403
s2|-45|19|0.0003720843
s2|-45|20|9.3021e-05
s2|-45|21|2.32552e-05
s2|-45|22|5.8138e-06
s2|-45|23|1.4535e-06
s2|-45|24|3.634e-07
s2|-45|25|9.08e-08
s2|-45|26|2.27e-08
s2|-45|27|5.7e-09
s2|-45|28|1.4e-09
s2|-45|29|4e-10
s2|-45|30|1e-10
s2|-40|0|84154909.02223916
s2|-40|1|24599524.08762271
s2|-40|2|7436880.739619226
s2|-40|3|1792734.3558953858
s2|-40|4|426671.6430333545
s2|-40|5|104231.3849713129
s2|-40|6|25722.291134302
s2|-40|7|6386.8178624345
s2|-40|8|1591.1260102892
s2|-40|9|397.0775061228
s2|-40|10|99.1809629173
s2|-40|11|24.7841632756
s2|-40|12|6.1946545316
s2|-40|13|1.5484591378
s2|-40|14|0.387089217
s2|-40|15|0.096769108
s2|-40|16|0.0241919383
s2|-40|17|0.0060479346
s2|-40|18|0.0015119784
s2|-40|19|0.0003779939
s2|-40|20|9.44984e-05
s2|-40|21|2.36246e-05
s2|-40|22|5.9061e-06
s2|-40|23|1.4765e-06
s2|-40|24|3.691e-07
s2|-40|25|9.23e-08
s2|-40|26|2.31e-08
s2|-40|27|5.8e-09
s2|-40|28|1.4e-09
s2|-40|29|4e-10
s2|-40|30|1e-10
s2|-35|0|84154909.02223916
s2|-35|1|24599524.08762271
s2|-35|2|7436880.739619226
s2|-35|3|1792734.3558953858
s2|-35|4|430883.4868367465
s2|-35|5|104957.7278801217
s2|-35|6|25860.8504212307
s2|-35|7|6415.9674573837
s2|-35|8|1597.9615320949
s2|-35|9|398.7051675865
s2|-35|10|99.5810878325
s2|-35|11|24.883343809
s2|-35|12|6.2192946388
s2|-35|13|1.5546308905
s2|-35|14|0.3886336199
s2|-35|15|0.097155489
s2|-35|16|0.0242885077
s2|-35|17|0.0060720814
s2|-35|18|0.0015180146
s2|-35|19|0.0003795029
s2|-35|20|9.48756e-05
s2|-35|21|2.37189e-05
s2|-35|22|5.9297e-06
s2|-35|23|1.4824e-06
s2|-35|24|3.706e-07
s2|-35|25|9.27e-08
s2|-35|26|2.32e-08
s2|-35|27|5.8e-09
s2|-35|28|1.4e-09
s2|-35|29|4e-10
s2|-35|30|1e-10
s2|-30|0|84154909.02223916
s2|-30|1|24599524.08762271
s2|-30|2|7436880.739619226
s2|-30|3|1774660.913077548
s2|-30|4|429262.3426201178
s2|-30|5|104182.3434825704
s2|-30|6|25619.7467520529
s2|-30|7|6363.8224203019
s2|-30|8|1585.6798840721
s2|-30|9|395.7522282713
s2|-30|10|98.8296985775
s2|-30|11|24.6938526937
s2|-30|12|6.1721504888
s2|-30|13|1.5428253325
s2|-30|14|0.3856797903
s2|-30|15|0.0964166293
s2|-30|16|0.0241038366
s2|-30|17|0.0060259191
s2|-30|18|0.0015064748
s2|-30|19|0.0003766181
s2|-30|20|9.41544e-05
s2|-30|21|2.35386e-05
s2|-30|22|5.8846e-06
s2|-30|23|1.4712e-06
s2|-30|24|3.678e-07
s2|-30|25|9.19e-08
s2|-30|26|2.3e-08
s2|-30|27|5.7e-09
s2|-30|28|1.4e-09
s2|-30|29|4e-10
s2|-30|30|1e-10
s2|-25|0|84154909.02223916
s2|-25|1|24599524.08762271
s2|-25|2|7436880.739619226
s2|-25|3|1774660.913077548
s2|-25|4|420651.9366404499
s2|-25|5|101648.4946455281
s2|-25|6|25152.5381365234
s2|-25|7|6253.2158768774
s2|-25|8|1555.8360666683
s2|-25|9|388.0187218844
s2|-25|10|96.9340765331
s2|-25|11|24.2187700368
s2|-25|12|6.0528472542
s2|-25|13|1.5129810558
s2|-25|14|0.3782164129
s2|-25|15|0.0945504965
s2|-25|16|0.0236371732
s2|-25|17|0.0059092595
s2|-25|18|0.0014773078
s2|-25|19|0.0003693261
s2|-25|20|9.23315e-05
s2|-25|21|2.30828e-05
s2|-25|22|5.7707e-06
s2|-25|23|1.4427e-06
s2|-25|24|3.607e-07
s2|-25|25|9.02e-08
s2|-25|26|2.25e-08
s2|-25|27|5.6e-09
s2|-25|28|1.4e-09
s2|-25|29|4e-10
s2|-25|30|1e-10
s2|-20|0|84154909.02223916
s2|-20|1|24599524.08762271
s2|-20|2|6273001.450371007
s2|-20|3|1638664.415242462
s2|-20|4|404492.142272773
s2|-20|5|99685.1655604516
s2|-20|6|24427.4415279025
s2|-20|7|6043.3735316378
s2|-20|8|1507.307451544
s2|-20|9|375.8205613591
s2|-20|10|93.8289734959
s2|-20|11|23.4501856873
s2|-20|12|5.8605717833
s2|-20|13|1.464896025
s2|-20|14|0.3661931354
s2|-20|15|0.0915444247
s2|-20|16|0.0228858902
s2|-20|17|0.0057214456
s2|-20|18|0.001430358
s2|-20|19|0.0003575886
s2|-20|20|8.9397e-05
s2|-20|21|2.23492e-05
s2|-20|22|5.5873e-06
s2|-20|23|1.3968e-06
s2|-20|24|3.492e-07
s2|-20|25|8.73e-08
s2|-20|26|2.18e-08
s2|-20|27|5.5e-09
s2|-20|28|1.4e-09
s2|-20|29|3e-10
s2|-20|30|1e-10
s2|-15|0|84154909.02223916
s2|-15|1|24599524.08762271
s2|-15|2|6273001.450371007
s2|-15|3|1638664.415242462
s2|-15|4|381043.8717289063
s2|-15|5|94404.8273707621
s2|-15|6|23073.085695405
s2|-15|7|5749.2036131146
s2|-15|8|1434.7642889485
s2|-15|9|358.3645801531
s2|-15|10|89.549750004
s2|-15|11|22.3822268065
s2|-15|12|5.5934814487
s2|-15|13|1.3982886554
s2|-15|14|0.3495397267
s2|-15|15|0.0873808767
s2|-15|16|0.0218450595
s2|-15|17|0.0054612449
s2|-15|18|0.0013653087
s2|-15|19|0.0003413262
s2|-15|20|8.53315e-05
s2|-15|21|2.13329e-05
s2|-15|22|5.3332e-06
s2|-15|23|1.3333e-06
s2|-15|24|3.333e-07
s2|-15|25|8.33e-08
s2|-15|26|2.08e-08
s2|-15|27|5.2e-09
s2|-15|28|1.3e-09
s2|-15|29|3e-10
s2|-15|30|1e-10
s2|-10|0|84154909.02223916
s2|-10|1|24599524.08762271
s2|-10|2|6273001.450371007
s2|-10|3|1393704.6322638078
s2|-10|4|351369.6862621667
s2|-10|5|87519.9110488868
s2|-10|6|21799.133031315
s2|-10|7|5437.2550339271
s2|-10|8|1350.6192099179
s2|-10|9|336.5639610939
s2|-10|10|84.1140655969
s2|-10|11|21.0114321828
s2|-10|12|5.2507215879
s2|-10|13|1.3124132818
s2|-10|14|0.3280966742
s2|-10|15|0.0820233372
s2|-10|16|0.0205053125
s2|-10|17|0.0051262629
s2|-10|18|0.0012815641
s2|-10|19|0.00032039
s2|-10|20|8.00974e-05
s2|-10|21|2.00243e-05
s2|-10|22|5.0061e-06
s2|-10|23|1.2515e-06
s2|-10|24|3.129e-07
s2|-10|25|7.82e-08
s2|-10|26|1.96e-08
s2|-10|27|4.9e-09
s2|-10|28|1.2e-09
s2|-10|29|3e-10
s2|-10|30|1e-10
s2|-5|0|84154909.02223916
s2|-5|1|24599524.08762271
s2|-5|2|6273001.450371007
s2|-5|3|1393704.6322638078
s2|-5|4|317059.9161501771
s2|-5|5|79397.5371925393
s2|-5|6|19829.4760094952
s2|-5|7|4952.6759186923
s2|-5|8|1237.4472161672
s2|-5|9|309.2632251958
s2|-5|10|77.3029643234
s2|-5|11|19.3085529615
s2|-5|12|4.8269332897
s2|-5|13|1.2064646383
s2|-5|14|0.3015825717
s2|-5|15|0.0753914443
s2|-5|16|0.0188478108
s2|-5|17|0.0047119464
s2|-5|18|0.0011779858
s2|-5|19|0.0002944964
s2|-5|20|7.36241e-05
s2|-5|21|1.8406e-05
s2|-5|22|4.6015e-06
s2|-5|23|1.1504e-06
s2|-5|24|2.876e-07
s2|-5|25|7.19e-08
s2|-5|26|1.8e-08
s2|-5|27|4.5e-09
s2|-5|28|1.1e-09
s2|-5|29|3e-10
s2|-5|30|1e-10
s2|0|0|84154909.02223916
s2|0|1|24599524.08762271
s2|0|2|6273001.450371002
s2|0|3|1393704.6322638062
s2|0|4|317059.916150176
s2|0|5|75005.3775999825
s2|0|6|18206.4885353843
s2|0|7|4483.0007052306
s2|0|8|1112.1481425494
s2|0|9|276.9604964189
s2|0|10|69.1054836952
s2|0|11|17.2595365362
s2|0|12|4.3127795716
s2|0|13|1.0779318063
s2|0|14|0.2694500647
s2|0|15|0.0673584053
s2|0|16|0.0168390874
s2|0|17|0.0042097076
s2|0|18|0.0010524189
s2|0|19|0.0002631037
s2|0|20|6.57758e-05
s2|0|21|1.64439e-05
s2|0|22|4.111e-06
s2|0|23|1.0277e-06
s2|0|24|2.569e-07
s2|0|25|6.42e-08
s2|0|26|1.61e-08
s2|0|27|4e-09
s2|0|28|1e-09
s2|0|29|3e-10
s2|0|30|1e-10
s2|5|0|84154909.02223916
s2|5|1|24599524.08762271
s2|5|2|6273001.450371002
s2|5|3|1393704.6322638062
s2|5|4|317059.916150176
s2|5|5|79397.5371925394
s2|5|6|19829.4760094952
s2|5|7|4952.6759186922
s2|5|8|1237.4472161672
s2|5|9|309.2632251957
s2|5|10|77.3029643234
s2|5|11|19.3085529615
s2|5|12|4.8269332897
s2|5|13|1.2064646383
s2|5|14|0.3015825717
s2|5|15|0.0753914443
s2|5|16|0.0188478108
s2|5|17|0.0047119464
s2|5|18|0.0011779858
s2|5|19|0.0002944964
s2|5|20|7.36241e-05
s2|5|21|1.8406e-05
s2|5|22|4.6015e-06
s2|5|23|1.1504e-06
s2|5|24|2.876e-07
s2|5|25|7.19e-08
s2|5|26|1.8e-08
s2|5|27|4.5e-09
s2|5|28|1.1e-09
s2|5|29|3e-10
s2|5|30|1e-10
s2|10|0|84154909.02223916
s2|10|1|24599524.08762271
s2|10|2|6273001.450371002
s2|10|3|1393704.6322638062
s2|10|4|351369.6862621671
s2|10|5|87519.9110488871
s2|10|6|21799.1330313152
s2|10|7|5437.255033927
s2|10|8|1350.6192099178
s2|10|9|336.5639610938
s2|10|10|84.1140655969
s2|10|11|21.0114321828
s2|10|12|5.2507215879
s2|10|13|1.3124132818
s2|10|14|0.3280966742
s2|10|15|0.0820233372
s2|10|16|0.0205053125
s2|10|17|0.0051262629
s2|10|18|0.0012815641
s2|10|19|0.00032039
s2|10|20|8.00974e-05
s2|10|21|2.00243e-05
s2|10|22|5.0061e-06
s2|10|23|1.2515e-06
s2|10|24|3.129e-07
s2|10|25|7.82e-08
s2|10|26|1.96e-08
s2|10|27|4.9e-09
s2|10|28|1.2e-09
s2|10|29|3e-10
s2|10|30|1e-10
s2|15|0|84154909.02223916
s2|15|1|24599524.08762271
s2|15|2|6273001.450371002
s2|15|3|1638664.4152424615
s2|15|4|381043.8717289062
s2|15|5|94404.8273707624
s2|15|6|23073.085695405
s2|15|7|5749.2036131146
s2|15|8|1434.7642889485
s2|15|9|358.364580153
s2|15|10|89.549750004
s2|15|11|22.3822268065
s2|15|12|5.5934814487
s2|15|13|1.3982886554
s2|15|14|0.3495397267
s2|15|15|0.0873808767
s2|15|16|0.0218450595
s2|15|17|0.0054612449
s2|15|18|0.0013653087
s2|15|19|0.0003413262
s2|15|20|8.53315e-05
s2|15|21|2.13329e-05
s2|15|22|5.3332e-06
s2|15|23|1.3333e-06
s2|15|24|3.333e-07
s2|15|25|8.33e-08
s2|15|26|2.08e-08
s2|15|27|5.2e-09
s2|15|28|1.3e-09
s2|15|29|3e-10
s2|15|30|1e-10
s2|20|0|84154909.02223916
s2|20|1|24599524.08762271
s2|20|2|6273001.450371002
s2|20|3|1638664.4152424615
s2|20|4|404492.1422727726
s2|20|5|99685.1655604515
s2|20|6|24427.4415279024
s2|20|7|6043.3735316378
s2|20|8|1507.3074515439
s2|20|9|375.8205613591
s2|20|10|93.8289734959
s2|20|11|23.4501856873
s2|20|12|5.8605717833
s2|20|13|1.464896025
s2|20|14|0.3661931354
s2|20|15|0.0915444247
s2|20|16|0.0228858902
s2|20|17|0.0057214456
s2|20|18|0.001430358
s2|20|19|0.0003575886
s2|20|20|8.9397e-05
s2|20|21|2.23492e-05
s2|20|22|5.5873e-06
s2|20|23|1.3968e-06
s2|20|24|3.492e-07
s2|20|25|8.73e-08
s2|20|26|2.18e-08
s2|20|27|5.5e-09
s2|20|28|1.4e-09
s2|20|29|3e-10
s2|20|30|1e-10
s2|25|0|84154909.02223916
s2|25|1|24599524.08762271
s2|25|2|7436880.739619233
s2|25|3|1774660.913077548
s2|25|4|420651.9366404503
s2|25|5|101648.4946455281
s2|25|6|25152.5381365232
s2|25|7|6253.2158768775
s2|25|8|1555.8360666684
s2|25|9|388.0187218844
s2|25|10|96.9340765331
s2|25|11|24.2187700368
s2|25|12|6.0528472542
s2|25|13|1.5129810558
s2|25|14|0.3782164129
s2|25|15|0.0945504965
s2|25|16|0.0236371732
s2|25|17|0.0059092595
s2|25|18|0.0014773078
s2|25|19|0.0003693261
s2|25|20|9.23315e-05
s2|25|21|2.30828e-05
s2|25|22|5.7707e-06
s2|25|23|1.4427e-06
s2|25|24|3.607e-07
s2|25|25|9.02e-08
s2|25|26|2.25e-08
s2|25|27|5.6e-09
s2|25|28|1.4e-09
s2|25|29|4e-10
s2|25|30|1e-10
s2|30|0|84154909.02223916
s2|30|1|24599524.08762271
s2|30|2|7436880.739619233
s2|30|3|1774660.913077548
s2|30|4|429262.3426201183
s2|30|5|104182.3434825705
s2|30|6|25619.7467520531
s2|30|7|6363.822420302
s2|30|8|1585.6798840721
s2|30|9|395.7522282713
s2|30|10|98.8296985775
s2|30|11|24.6938526937
s2|30|12|6.1721504888
s2|30|13|1.5428253325
s2|30|14|0.3856797903
s2|30|15|0.0964166293
s2|30|16|0.0241038366
s2|30|17|0.0060259191
s2|30|18|0.0015064748
s2|30|19|0.0003766181
s2|30|20|9.41544e-05
s2|30|21|2.35386e-05
s2|30|22|5.8846e-06
s2|30|23|1.4712e-06
s2|30|24|3.678e-07
s2|30|25|9.19e-08
s2|30|26|2.3e-08
s2|30|27|5.7e-09
s2|30|28|1.4e-09
s2|30|29|4e-10
s2|30|30|1e-10
s2|35|0|84154909.02223916
s2|35|1|24599524.08762271
s2|35|2|7436880.739619233
s2|35|3|1792734.3558953863
s2|35|4|430883.4868367463
s2|35|5|104957.7278801216
s2|35|6|25860.850421231
s2|35|7|6415.9674573837
s2|35|8|1597.9615320948
s2|35|9|398.7051675865
s2|35|10|99.5810878325
s2|35|11|24.883343809
s2|35|12|6.2192946388
s2|35|13|1.5546308905
s2|35|14|0.3886336199
s2|35|15|0.097155489
s2|35|16|0.0242885077
s2|35|17|0.0060720814
s2|35|18|0.0015180146
s2|35|19|0.0003795029
s2|35|20|9.48756e-05
s2|35|21|2.37189e-05
s2|35|22|5.9297e-06
s2|35|23|1.4824e-06
s2|35|24|3.706e-07
s2|35|25|9.27e-08
s2|35|26|2.32e-08
s2|35|27|5.8e-09
s2|35|28|1.4e-09
s2|35|29|4e-10
s2|35|30|1e-10
s2|40|0|84154909.02223916
s2|40|1|24599524.08762271
s2|40|2|7436880.739619233
s2|40|3|1792734.3558953863
s2|40|4|426671.643033354
s2|40|5|104231.3849713126
s2|40|6|25722.2911343017
s2|40|7|6386.8178624344
s2|40|8|1591.1260102891
s2|40|9|397.0775061228
s2|40|10|99.1809629173
s2|40|11|24.7841632756
s2|40|12|6.1946545316
s2|40|13|1.5484591378
s2|40|14|0.387089217
s2|40|15|0.096769108
s2|40|16|0.0241919383
s2|40|17|0.0060479346
s2|40|18|0.0015119784
s2|40|19|0.0003779939
s2|40|20|9.44984e-05
s2|40|21|2.36246e-05
s2|40|22|5.9061e-06
s2|40|23|1.4765e-06
s2|40|24|3.691e-07
s2|40|25|9.23e-08
s2|40|26|2.31e-08
s2|40|27|5.8e-09
s2|40|28|1.4e-09
s2|40|29|4e-10
s2|40|30|1e-10
s2|45|0|84154909.02223916
s2|45|1|24599524.08762271
s2|45|2|7436880.739619233
s2|45|3|1792734.3558953863
s2|45|4|426671.643033354
s2|45|5|103410.5409791758
s2|45|6|25418.7016938246
s2|45|7|6299.0224518715
s2|45|8|1567.7186324601
s2|45|9|391.0452525249
s2|45|10|97.6504708801
s2|45|11|24.3987444459
s2|45|12|6.0979508348
s2|45|13|1.5242707295
s2|45|14|0.3810405556
s2|45|15|0.0952567478
s2|45|16|0.023813763
s2|45|17|0.0059533878
s2|45|18|0.0014883403
s2|45|19|0.0003720843
s2|45|20|9.3021e-05
s2|45|21|2.32552e-05
s2|45|22|5.8138e-06
s2|45|23|1.4535e-06
s2|45|24|3.634e-07
s2|45|25|9.08e-08
s2|45|26|2.27e-08
s2|45|27|5.7e-09
s2|45|28|1.4e-09
s2|45|29|4e-10
s2|45|30|1e-10
s2|50|2|15873102.818506029
s2|50|3|2599717.1392121487
s2|50|4|509260.1232109099
s2|50|5|135434.3682843366
s2|50|6|34941.7353500398
s2|50|7|8875.6279431379
s2|50|8|2236.7499197589
s2|50|9|561.4383745395
s2|50|10|140.6422580196
s2|50|11|35.1959795821
s2|50|12|8.8034269264
s2|50|13|2.1997654741
s2|50|14|0.5498050191
s2|50|15|0.1374342147
s2|50|16|0.034359635
s2|50|17|0.0085896425
s2|50|18|0.0021474275
s2|50|19|0.000536859
s2|50|20|0.0001342142
s2|50|21|3.35535e-05
s2|50|22|8.3884e-06
s2|50|23|2.0971e-06
s2|50|24|5.243e-07
s2|50|25|1.311e-07
s2|50|26|3.28e-08
s2|50|27|8.2e-09
s2|50|28|2e-09
s2|50|29|5e-10
s2|50|30|1e-10
s2|55|2|15873102.818506029
s2|55|3|2599717.1392121487
s2|55|4|746712.4808897866
s2|55|5|200368.2115232282
s2|55|6|51931.2895797465
s2|55|7|13221.8699614755
s2|55|8|3249.9078072712
s2|55|9|816.193816772
s2|55|10|203.185786105
